COL,Observations
TARGET,"For almost 92 per cent of the loans, a client paid without any difficulties."
TARGET,"In the beginning, we can comment that we will have unbalanced classification problem to solve."
NAME_CONTRACT_TYPE,Most of the Loans are Cash Loans around 90.5 percent of total loans.
NAME_CONTRACT_TYPE,"For Very less number of loans of each category, the client face difficulties."
NAME_CONTRACT_TYPE,There are some differences in default rate for both contract type.
CODE_GENDER,We have more female data points than Male. 
CODE_GENDER,"We have 14170 examples of laon taken by Female and face difficulties. The same number for male is 10655. Although the number is less for Male but percentage of total loans for Male, are higher than the same number of Female in terms of loan repayment difficulties."
CODE_GENDER,"he Third Gender ""XMA"" have only 4 examples which is very insignificant."
FLAG_OWN_CAR,Most of the loan taking person do not have Car.
FLAG_OWN_CAR,There are slight differences in percentage between person having a car and face some difficulties & person having no car and face some difficulties.
FLAG_OWN_REALTY,Most of the loan taker owns their house.
FLAG_OWN_REALTY,Their are hardly any differences between owning a house or not to their loan repayment capabilities.
CNT_CHILDREN,Most of the loan taker have no Children and also face less difficulties.
AMT_INCOME_TOTAL,There are some people who are getting very high amount of Salary.
AMT_INCOME_TOTAL,There are less number of defaults when salary are very low or very high.
AMT_CREDIT,There are high number of default when loan amount is small.
AMT_ANNUITY,There are almost no differences in distribution of "AMT_ANNUITY" between 2 classes.
AMT_GOODS_PRICE,There are some differences between distribution of 2 class with good's price.
NAME_TYPE_SUITE,Most of the time the borrower visit the lender office alone. For All available value have the similar default rate. But for the rows without any values for this column have different deefault rate. So that is why we are keeping the columns.
NAME_INCOME_TYPE,More percent of Working profressional have defaulted.
NAME_INCOME_TYPE,State Servants & Pentioner have less number of default rate.
NAME_INCOME_TYPE,"Student, Unemplyed, Businessman, Maternity Leave have very few data point."
NAME_EDUCATION_TYPE,Lower Secondary and Secondary / secondary special have more default rate than others.
NAME_EDUCATION_TYPE,The people have done Higher education have less dafault rate. If they had not completed than the default rate is higher.
NAME_EDUCATION_TYPE,"Althrough, Academic degree holder have less number of datapoint than others, they have minimum default rate."
